NTAName,ResUnits
North Side-South Side,9114
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,6987
East New York,5026
Bedford,4551
Bushwick South,4523
Crown Heights North,3306
East Williamsburg,2991
Seagate-Coney Island,2821
Park Slope-Gowanus,2617
Clinton Hill,2241
Ocean Hill,2015
Stuyvesant Heights,1972
Brighton Beach,1887
Fort Greene,1774
Brownsville,1716
Greenpoint,1533
Borough Park,1532
Carroll Gardens-Columbia Street-Red Hook,1307
Prospect Lefferts Gardens-Wingate,1246
Bensonhurst East,1214
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1184
Bushwick North,1083
East New York (Pennsylvania Ave),1081
Georgetown-Marine Park-Bergen Beach-Mill Basin,975
Brooklyn Heights-Cobble Hill,941
Prospect Heights,933
Bensonhurst West,902
Williamsburg,897
Sunset Park East,826
Sunset Park West,798
Gravesend,726
Canarsie,709
Bay Ridge,623
Madison,596
Midwood,533
Flatbush,524
Dyker Heights,494
Bath Beach,484
Windsor Terrace,466
Erasmus,451
Homecrest,425
Flatlands,358
Rugby-Remsen Village,288
Cypress Hills-City Line,287
East Flatbush-Farragut,267
Crown Heights South,255
Kensington-Ocean Parkway,193
Ocean Parkway South,167
West Brighton,124
Starrett City,0
