NTAName,ResUnits
Morrisania-Melrose,3991
Melrose South-Mott Haven North,3209
Williamsbridge-Olinville,2429
East Tremont,2347
Highbridge,2307
Longwood,2072
Claremont-Bathgate,2012
Soundview-Castle Hill-Clason Point-Harding Park,1883
Crotona Park East,1477
Mott Haven-Port Morris,1437
Schuylerville-Throgs Neck-Edgewater Park,1240
University Heights-Morris Heights,1027
East Concourse-Concourse Village,973
Spuyten Duyvil-Kingsbridge,811
Bedford Park-Fordham North,772
Co-op City,762
Westchester-Unionport,760
Hunts Point,756
Belmont,673
Pelham Bay-Country Club-City Island,655
Eastchester-Edenwald-Baychester,643
Woodlawn-Wakefield,603
Van Nest-Morris Park-Westchester Square,506
West Concourse,483
Kingsbridge Heights,442
Allerton-Pelham Gardens,432
Van Cortlandt Village,413
Fordham South,380
Norwood,374
Pelham Parkway,319
Bronxdale,305
North Riverdale-Fieldston-Riverdale,250
Soundview-Bruckner,221
West Farms-Bronx River,193
Parkchester,91
Rikers Island,0
Mount Hope,
