NTAName,ResUnits
Hudson Yards-Chelsea-Flatiron-Union Square,14679
Clinton,12359
Battery Park City-Lower Manhattan,5933
Midtown-Midtown South,5629
Lincoln Square,4981
Central Harlem North-Polo Grounds,4231
SoHo-TriBeCa-Civic Center-Little Italy,3527
East Harlem North,3494
East Harlem South,3295
Central Harlem South,3145
Turtle Bay-East Midtown,3025
Lenox Hill-Roosevelt Island,2717
Lower East Side,2198
Murray Hill-Kips Bay,2077
Upper West Side,1811
Chinatown,1424
Yorkville,1327
East Village,1303
West Village,1078
Gramercy,710
Hamilton Heights,617
Upper East Side-Carnegie Hill,587
Morningside Heights,514
Washington Heights South,335
Marble Hill-Inwood,217
Washington Heights North,209
Manhattanville,96
Stuyvesant Town-Cooper Village,0
