NTAName,ResUnits
Hunters Point-Sunnyside-West Maspeth,8434
Flushing,3529
Hammels-Arverne-Edgemere,3150
Old Astoria,2432
North Corona,2364
Far Rockaway-Bayswater,2044
Astoria,1936
Jamaica,1746
Corona,1561
South Jamaica,1523
Elmhurst,1462
Queensbridge-Ravenswood-Long Island City,1429
College Point,1330
Briarwood-Jamaica Hills,1098
Richmond Hill,1051
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1029
Forest Hills,1016
Pomonok-Flushing Heights-Hillcrest,944
Woodside,923
St. Albans,837
Elmhurst-Maspeth,803
Murray Hill,765
East Flushing,747
South Ozone Park,744
Springfield Gardens South-Brookville,714
Whitestone,674
Baisley Park,611
Woodhaven,586
Steinway,579
Maspeth,577
Bayside-Bayside Hills,556
Kew Gardens Hills,556
Jackson Heights,524
Middle Village,521
East Elmhurst,500
Kew Gardens,475
Springfield Gardens North,472
Ridgewood,449
Rosedale,434
Queensboro Hill,421
Glendale,394
Douglas Manor-Douglaston-Little Neck,385
Jamaica Estates-Holliswood,385
Auburndale,359
Rego Park,348
Lindenwood-Howard Beach,313
Hollis,301
Bellerose,296
Queens Village,273
Laurelton,254
Ozone Park,235
Oakland Gardens,232
Glen Oaks-Floral Park-New Hyde Park,93
Ft. Totten-Bay Terrace-Clearview,63
Fresh Meadows-Utopia,62
Cambria Heights,23
