NTAName,ResUnits
Charleston-Richmond Valley-Tottenville,2236
Annadale-Huguenot-Prince's Bay-Eltingville,1621
Rossville-Woodrow,1470
Mariner's Harbor-Arlington-Port Ivory-Graniteville,1335
West New Brighton-New Brighton-St. George,1324
New Dorp-Midland Beach,1188
Great Kills,1137
Stapleton-Rosebank,1137
Old Town-Dongan Hills-South Beach,1078
Arden Heights,1009
New Springville-Bloomfield-Travis,958
Grymes Hill-Clifton-Fox Hills,870
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,678
Grasmere-Arrochar-Ft. Wadsworth,637
Port Richmond,487
Oakwood-Oakwood Beach,484
Westerleigh,459
New Brighton-Silver Lake,298
